"path","git_status","artifact_type","scope"
"docs/hq/role_aware_mission_lifecycle_integration_v1/CONTEXT_CAPSULE_UPDATE_WRITER_V1.md","??","md","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/MAIN_BOT_LOOP_PREVENTION_RULES_V1.md","??","md","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/NEXT_STEPS_AFTER_ROLE_AWARE_LIFECYCLE_V1.md","??","md","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/project_main_bot_dry_run_case_results.csv","??","csv","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/PROJECT_MAIN_BOT_DRY_RUN_LOOP_V1.md","??","md","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/role_aware_lifecycle_commit_log.csv","??","csv","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/role_aware_lifecycle_file_manifest.csv","??","csv","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/ROLE_AWARE_LIFECYCLE_INTEGRATION_V1.md","??","md","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/role_aware_lifecycle_state_transition_matrix.csv","??","csv","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/role_aware_lifecycle_stop_conditions.csv","??","csv","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/role_aware_lifecycle_validation.json","??","json","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/ROLE_AWARE_MISSION_LIFECYCLE_INTEGRATION_V1_REPORT.md","??","md","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/translator_intake_case_matrix.csv","??","csv","role_aware_lifecycle_integration_v1"
"docs/hq/role_aware_mission_lifecycle_integration_v1/WORKER_INSTRUCTION_PACKET_CONTRACT_V1.md","??","md","role_aware_lifecycle_integration_v1"
"fleet/control/main-bot-loop-prevention-rules.v1.json","??","json","role_aware_lifecycle_integration_v1"
"fleet/control/worker-instruction-packet.schema.v1.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/loop_prevention/duplicate-system.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/loop_prevention/forbidden-repeat.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/loop_prevention/repeat-blocker.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/loop_prevention/research-no-finish.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/loop_prevention/safe-progress.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/loop_prevention/worker-green-verifier-red.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/auditor_worker.mission-draft.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/builder_worker.mission-draft.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/chatgpt_api_hq_escalation_judge.mission-draft.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/context_memory_steward.mission-draft.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/export_creator_worker.mission-draft.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/hq_escalation/hq_escalation_case.no_api.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/parallel_lane_coordinator.mission-draft.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/project_main_bot.mission-draft.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/requests/ambiguous-request.request.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/requests/audit-this.request.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/requests/build-this-safely.request.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/requests/fix-codex-cli-config.request.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/requests/mutate-product-repo.request.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/requests/needs-chatgpt-hq.request.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/requests/organize-project.request.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/requests/overnight-safe.request.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/requests/push-merge-deploy.request.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/researcher_source_tracer_worker.mission-draft.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/tester_worker.mission-draft.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/role_aware_lifecycle/translator_helper_bot.mission-draft.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/worker_instruction_packets/auditor_worker.worker-instruction-packet.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/worker_instruction_packets/builder_worker.worker-instruction-packet.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/worker_instruction_packets/researcher_source_tracer_worker.worker-instruction-packet.json","??","json","role_aware_lifecycle_integration_v1"
"tests/fixtures/fleet/project-main-bot/worker_instruction_packets/tester_worker.worker-instruction-packet.json","??","json","role_aware_lifecycle_integration_v1"
"tests/run-role-aware-lifecycle-integration-tests.ps1","??","ps1","role_aware_lifecycle_integration_v1"
"tools/codex-fleet-enforcement-kernel.ps1","M","ps1","role_aware_lifecycle_integration_v1"
"tools/Invoke-TsfMissionLifecycle.ps1","M","ps1","role_aware_lifecycle_integration_v1"
"tools/Invoke-TsfProjectMainBotDryRun.ps1","??","ps1","role_aware_lifecycle_integration_v1"
"tools/New-TsfProjectMainBotMissionDraft.ps1","M","ps1","role_aware_lifecycle_integration_v1"
"tools/Test-TsfMainBotLoopPrevention.ps1","??","ps1","role_aware_lifecycle_integration_v1"
"tools/Test-TsfWorkerRolePermission.ps1","M","ps1","role_aware_lifecycle_integration_v1"
"tools/Update-TsfProjectContextCapsule.ps1","??","ps1","role_aware_lifecycle_integration_v1"
